proof,cnf,line,op,literal_count,max_var,integrity_type,class_code,reason,uses_extension_variable,has_duplicate_literal,contains_complement_pair,literals
xor_unsat.cadical.drat,xor_unsat.cnf,18,delete,3,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,1 2 -4
xor_unsat.cadical.drat,xor_unsat.cnf,19,delete,3,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-1 2 4
xor_unsat.cadical.drat,xor_unsat.cnf,20,delete,3,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-1 2 -4
xor_unsat.cadical.drat,xor_unsat.cnf,21,delete,3,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,1 -2 4
xor_unsat.cadical.drat,xor_unsat.cnf,22,delete,3,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,1 -2 -4
xor_unsat.cadical.drat,xor_unsat.cnf,23,delete,3,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-1 -2 4
xor_unsat.cadical.drat,xor_unsat.cnf,24,delete,3,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-1 -2 -4
xor_unsat.cadical.drat,xor_unsat.cnf,25,delete,2,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,1 4
xor_unsat.cadical.drat,xor_unsat.cnf,26,delete,2,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,1 -4
xor_unsat.cadical.drat,xor_unsat.cnf,27,delete,2,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-1 4
xor_unsat.cadical.drat,xor_unsat.cnf,28,delete,2,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-1 -4
xor_unsat.cadical.drat,xor_unsat.cnf,29,delete,1,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,4
xor_unsat.cadical.drat,xor_unsat.cnf,30,delete,1,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-4
xor_unsat.cadical.drat,xor_unsat.cnf,31,delete,1,4,C,C_PUBLIC_DRAT_DELETION,DRAT deletion is public proof bookkeeping over DIMACS literals,false,false,false,-4
