proof,proof_format,cnf,line,proof_id,op,literal_count,hint_count,max_var,integrity_type,class_code,reason,uses_extension_variable,has_duplicate_literal,contains_complement_pair,literals
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,13,20,add,1,2,8,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,8
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,14,20,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,15,21,add,1,2,9,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,9
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,16,21,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,17,22,add,1,2,10,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,10
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,18,22,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,19,23,add,1,2,11,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,11
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,20,23,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,21,24,add,1,2,12,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,12
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,22,24,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_12.cadical.lrat,lrat,horn_chain_12.cnf,23,25,add,0,2,0,C,C_PUBLIC_LRAT_EMPTY_CLAUSE,empty clause is a public unsatisfiability witness in the checked LRAT trace,false,false,false,
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,1,10,add,1,2,2,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,2
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,2,10,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,3,11,add,1,2,3,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,3
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,4,11,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,5,12,add,1,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,4
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,6,12,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,7,13,add,1,2,5,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,5
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,8,13,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,9,14,add,1,2,6,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,6
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,10,14,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,11,15,add,1,2,7,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,7
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,12,15,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,13,16,add,1,2,8,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,8
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,14,16,delete,0,1,0,C,C_PUBLIC_LRAT_DELETION,LRAT deletion is public proof bookkeeping over checked public clauses,false,false,false,
horn_chain_8.cadical.lrat,lrat,horn_chain_8.cnf,15,17,add,0,2,0,C,C_PUBLIC_LRAT_EMPTY_CLAUSE,empty clause is a public unsatisfiability witness in the checked LRAT trace,false,false,false,
php_3_2.cadical.lrat,lrat,php_3_2.cnf,1,13,add,1,5,2,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-2
php_3_2.cadical.lrat,lrat,php_3_2.cnf,2,14,add,1,2,1,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,1
php_3_2.cadical.lrat,lrat,php_3_2.cnf,3,15,add,1,2,3,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-3
php_3_2.cadical.lrat,lrat,php_3_2.cnf,4,16,add,1,2,5,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-5
php_3_2.cadical.lrat,lrat,php_3_2.cnf,5,17,add,1,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,4
php_3_2.cadical.lrat,lrat,php_3_2.cnf,6,18,add,1,2,6,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,6
php_3_2.cadical.lrat,lrat,php_3_2.cnf,7,19,add,0,3,0,C,C_PUBLIC_LRAT_EMPTY_CLAUSE,empty clause is a public unsatisfiability witness in the checked LRAT trace,false,false,false,
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,1,25,add,3,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,1 2 4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,2,26,add,3,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,1 2 -4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,3,27,add,3,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-1 2 4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,4,28,add,3,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-1 2 -4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,5,29,add,3,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,1 -2 4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,6,30,add,3,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,1 -2 -4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,7,31,add,3,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-1 -2 4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,8,32,add,3,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-1 -2 -4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,9,33,add,2,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,1 4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,10,34,add,2,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,1 -4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,11,35,add,2,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-1 4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,12,36,add,2,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-1 -4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,13,37,add,1,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,14,38,add,1,2,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,15,39,add,1,1,4,C,C_PUBLIC_LRAT_LEMMA,LRAT lemma over public DIMACS literals; antecedent hints are checked proof references,false,false,false,-4
xor_unsat.cadical.lrat,lrat,xor_unsat.cnf,16,40,add,0,2,0,C,C_PUBLIC_LRAT_EMPTY_CLAUSE,empty clause is a public unsatisfiability witness in the checked LRAT trace,false,false,false,
