source_sector,raw_sector,block_dimension,normalization_status,coefficient_source,intrinsic_ambiguity_group,intrinsic_projective_gauge_dimension,residual_unanchored_projective_gauge_dimension,why_ambiguous,current_anchor,nontrivial_gl_witness_present,witness_formula_residual_zero,witness_preserves_central_page,perennial_id,coordinate_fingerprint_id
21,33,2,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_2(F_1000003),3,3,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.5e5bfcc366256ec7df15b71c,a985coord.c40efde730c8f02557d7b8a1
22,36,2,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_2(F_1000003),3,3,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.d12a943a54a67bb5ae120747,a985coord.c9a14e2cdc62a74eda2c9824
23,0,3,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_3(F_1000003),8,8,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.c4677130926379bf1a8493b8,a985coord.de3d5c5b143c8513fa5ac63c
24,1,1,CANONICAL_DIMENSION_ONE,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,trivial,0,0,dimension-one block has no off-diagonal basis choice,central idempotent is the only matrix unit,False,False,False,a985pf.b0f0ffa7a70b464fb1c6be3b,a985coord.110286a1a8b1f401969b938e
25,30,1,CANONICAL_DIMENSION_ONE,REGISTERED_SUPPORT_COO,trivial,0,0,dimension-one block has no off-diagonal basis choice,central idempotent is the only matrix unit,False,False,False,a985pf.f5c4748a515dca877336eb56,a985coord.679dfe35a3ec900ef94e3fee
26,29,1,CANONICAL_DIMENSION_ONE,REGISTERED_SUPPORT_COO,trivial,0,0,dimension-one block has no off-diagonal basis choice,central idempotent is the only matrix unit,False,False,False,a985pf.1c291d5534c311edc48123b2,a985coord.90b3dfdbbd10982f7e31ff7f
27,26,4,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_4(F_1000003),15,15,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.4d384f591c3ef6e2b4c37add,a985coord.1f3040b2d4517d1b8d063314
28,13,5,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_5(F_1000003),24,24,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.e6c98083c5e5e5d4a1268f82,a985coord.39fc8e1c08d8e3cc19491039
29,2,4,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_4(F_1000003),15,15,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.40d225d7c9eb3b2b13df3c6f,a985coord.94156edfa9ed65e2bb412905
30,8,4,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_4(F_1000003),15,15,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.8b88ad6bf8b651568aa49e4c,a985coord.b07fab0257d656caae29ff29
31,16,10,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_10(F_1000003),99,99,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.8b1b2d04f1055c9f34ae3c5e,a985coord.7e6668dc8bd54a40c6c407dd
32,4,2,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_2(F_1000003),3,3,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.8cf60f8da9783cf93a08b3c3,a985coord.3b43e81d41920f044a201f66
33,19,2,REGISTERED_SUPPORT_ANCHORED,REGISTERED_SUPPORT_COO,PGL_2(F_1000003),3,0,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,promoted registered support matrix-unit source fixes this basis,False,False,False,a985pf.0f1476a5434aef02bb516590,a985coord.468ec3c4d550c16c63fa2f3d
34,35,1,CANONICAL_DIMENSION_ONE,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,trivial,0,0,dimension-one block has no off-diagonal basis choice,central idempotent is the only matrix unit,False,False,False,a985pf.dee5a3615e2ca5e9f7b6d662,a985coord.111958fabfcf6eb85501a38d
35,38,9,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_9(F_1000003),80,80,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.59330ff9790063b5c0df1269,a985coord.096f8eab0a6fa737cbafb7ef
36,10,12,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_12(F_1000003),143,143,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.50182ed2eabe67fd6092e6f3,a985coord.f1b667b37ea59ec990928346
37,15,11,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_11(F_1000003),120,120,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.bad63dd92c0d7963a1477d0a,a985coord.0f1fc60c89c320f2adcd2858
38,34,8,OPEN_GL_BLOCK_NORMALIZATION,CONSTRUCTED_FROM_PROMOTED_CENTRAL_PAGE,PGL_8(F_1000003),63,63,changing the simple-module basis conjugates the matrix-unit system while preserving multiplication,no source-sector off-diagonal matrix-unit basis is present in the certified lift,True,True,True,a985pf.e8b35eb8f197f0e85e7f9a28,a985coord.5f77625dee5f3a1d4924aec2
